From https://www.unicode.org/cldr/charts/latest/supplemental/locale_coverage.html
Last accessed 2025-05-07
Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
zu	Zulu	isiZulu	Latn	ZA	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
af	Afrikaans	Afrikaans	Latn	ZA	2	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
ms	Malay	Melayu	Latn	MY	4	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
chr	Cherokee	ᏣᎳᎩ	Cher	US	1	‡modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar, 🄼 ordinals, 🄼 romanization
ko	Korean	한국어	Kore	KR	3	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
id	Indonesian	Indonesia	Latn	ID	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
th	Thai	ไทย	Thai	TH	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
lo	Lao	ລາວ	Laoo	LA	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
km	Khmer	ខ្មែរ	Khmr	KH	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	🄼 grammar
yo	Yoruba	Èdè Yorùbá	Latn	NG	2	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar, 🄼 ordinals
ig	Igbo	Igbo	Latn	NG	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar, 🄼 ordinals
he	Hebrew	‫עברית‬	Hebr	IL	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
pl	Polish	polski	Latn	PL	1	modern	≡	modern	ICU	99.60%	99.70%	99.90%	100.00%	100.00%	
lt	Lithuanian	lietuvių	Latn	LT	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
cs	Czech	čeština	Latn	CZ	1	modern	≡	modern	ICU	99.60%	99.70%	99.90%	100.00%	100.00%	
sk	Slovak	slovenčina	Latn	SK	1	modern	≡	modern	ICU	99.60%	99.70%	99.90%	100.00%	100.00%	
sl	Slovenian	slovenščina	Latn	SI	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
ru	Russian	русский	Cyrl	RU	6	modern	≡	modern	ICU	99.70%	99.70%	99.90%	100.00%	100.00%	
uk	Ukrainian	українська	Cyrl	UA	1	modern	≡	modern	ICU	99.60%	99.70%	99.90%	100.00%	100.00%	
hsb	Upper Sorbian	hornjoserbšćina	Latn	DE	1	‡modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
be	Belarusian	беларуская	Cyrl	BY	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
sr	Serbian	српски	Cyrl	RS	4	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
sr_Latn	Serbian (Latin)	srpski (latinica)	Latn	RS	4	‡modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
dsb	Lower Sorbian	dolnoserbšćina	Latn	DE	1	‡modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
ro	Romanian	română	Latn	RO	2	modern	≡	modern	ICU	99.60%	99.70%	99.90%	100.00%	100.00%	
hr	Croatian	hrvatski	Latn	HR	2	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
az	Azeri	azərbaycan	Latn	AZ	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	
fa	Persian	‫فارسی‬	Arab	IR	2	modern	≡	modern	ICU	99.70%	99.70%	99.90%	100.00%	100.00%	
uz	Uzbek	o‘zbek	Latn	UZ	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	
fr	French	français	Latn	FR	46	modern	≡	modern	ICU	99.70%	99.70%	99.90%	100.00%	100.00%	
so	Somali	Soomaali	Latn	SO	4	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	ⓜ collation, 🄼 grammar, 🄼 ordinals
kk	Kazakh	қазақ тілі	Cyrl	KZ	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	
pt	Portuguese	português	Latn	BR	12	modern	≡	modern	ICU	99.70%	99.70%	99.90%	100.00%	100.00%	
ne	Nepali	नेपाली	Deva	NP	2	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	
ha	Hausa	Hausa	Latn	NG	3	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar, 🄼 ordinals
sq	Albanian	shqip	Latn	AL	3	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
tk	Turkmen	türkmen dili	Latn	TM	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
mn	Mongolian	монгол	Cyrl	MN	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
es	Spanish	español	Latn	ES	28	modern	≡	modern	ICU	99.90%	99.90%	99.90%	100.00%	100.00%	
fi	Finnish	suomi	Latn	FI	1	modern	≡	modern	ICU	99.70%	99.80%	99.90%	100.00%	100.00%	
as	Assamese	অসমীয়া	Beng	IN	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
ca	Catalan	català	Latn	ES	4	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	
bg	Bulgarian	български	Cyrl	BG	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
ky	Kyrgyz	кыргызча	Cyrl	KG	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	
eu	Basque	euskara	Latn	ES	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	ⓜ collation, 🄼 grammar
de	German	Deutsch	Latn	DE	7	modern	≡	modern	ICU	99.70%	99.70%	99.90%	100.00%	100.00%	
gl	Galician	galego	Latn	ES	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
hu	Hungarian	magyar	Latn	HU	1	modern	≡	modern	ICU	99.70%	99.80%	99.90%	100.00%	100.00%	
sv	Swedish	svenska	Latn	SE	3	modern	≡	modern	ICU	99.70%	99.70%	99.90%	100.00%	100.00%	
it	Italian	italiano	Latn	IT	4	modern	≡	modern	ICU	99.70%	99.70%	99.90%	100.00%	100.00%	
da	Danish	dansk	Latn	DK	2	modern	≡	modern	ICU	99.70%	99.70%	99.90%	100.00%	100.00%	
et	Estonian	eesti	Latn	EE	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
sw	Swahili	Kiswahili	Latn	TZ	4	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
hy	Armenian	հայերեն	Armn	AM	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
ka	Georgian	ქართული	Geor	GE	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	🄼 grammar
el	Greek	Ελληνικά	Grek	GR	2	modern	≡	modern	ICU	99.70%	99.70%	99.90%	100.00%	100.00%	
is	Icelandic	íslenska	Latn	IS	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	
no	Norwegian	norsk	Latn	NO	0	modern	≡	modern	ICU	99.70%	99.70%	99.90%	100.00%	100.00%	
yue	Cantonese	粵語	Hant	HK	3	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	ⓜ collation, 🄼 grammar
yue_Hans	Cantonese (Simplified)	粤语 (简体)	Hans	CN	0	‡modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	ⓜ collation, 🄼 grammar
kok	Konkani	कोंकणी	Deva	IN	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	ⓜ plurals, 🄼 grammar, 🄼 ordinals
my	Burmese	မြန်မာ	Mymr	MM	1	modern	≡	modern	ICU	100.00%	99.90%	99.90%	100.00%	100.00%	
vi	Vietnamese	Tiếng Việt	Latn	VN	1	modern	≡	modern	ICU	99.80%	99.80%	99.90%	100.00%	100.00%	
pa	Punjabi	ਪੰਜਾਬੀ	Guru	IN	1	modern	≡	modern	ICU	100.00%	99.90%	99.80%	100.00%	100.00%	
sd	Sindhi	‫سنڌي‬	Arab	PK	1	modern	≡	modern	ICU	100.00%	99.90%	99.80%	100.00%	100.00%	ⓜ collation, 🄼 grammar
pcm	Nigerian Pidgin	Naijíriá Píjin	Latn	NG	1	modern	≡	modern	ICU	100.00%	99.90%	99.80%	100.00%	100.00%	ⓜ casing, ⓜ collation, 🄼 grammar, 🄼 ordinals
jv	Javanese	Jawa	Latn	ID	1	modern	≡	modern	ICU	100.00%	99.90%	99.70%	100.00%	100.00%	ⓜ casing, ⓜ collation, 🄼 grammar, 🄼 ordinals
ti	Tigrinya	ትግርኛ	Ethi	ET	2	moderate	<	modern	ICU	100.00%	100.00%	100.00%	100.00%	100.00%	ⓜ collation, 🄼 grammar, 🄼 ordinals
ceb	Cebuano	Cebuano	Latn	PH	1	moderate	≡	moderate	ICU	99.30%	54.70%	99.90%	100.00%	100.00%	
xh	Xhosa	IsiXhosa	Latn	ZA	1	moderate	≡	moderate	ICU	98.40%	67.80%	99.90%	100.00%	100.00%	
fo	Faroese	føroyskt	Latn	FO	2	‡moderate	≡	moderate	ICU	100.00%	95.50%	99.90%	100.00%	100.00%	
sc	Sardinian	sardu	Latn	IT	1	‡moderate	≡	moderate	ICU	100.00%	85.00%	99.90%	100.00%	100.00%	ⓜ collation
ak	Akan	Akan	Latn	GH	1	moderate	≡	moderate	ICU	100.00%	97.40%	99.90%	100.00%	100.00%	ⓜ collation
wo	Wolof	Wolof	Latn	SN	1	moderate	≡	moderate	ICU	100.00%	84.20%	99.80%	100.00%	100.00%	ⓜ casing
tg	Tajik	тоҷикӣ	Cyrl	TJ	1	moderate	≡	moderate	ICU	99.90%	74.40%	99.80%	100.00%	100.00%	ⓜ plurals, ⓜ collation
mi	Māori	Māori	Latn	NZ	1	moderate	≡	moderate	ICU	100.00%	79.70%	99.70%	100.00%	100.00%	ⓜ casing, ⓜ plurals, ⓜ collation
tt	Tatar	татар	Cyrl	RU	1	moderate	≡	moderate	ICU	100.00%	46.20%	99.70%	100.00%	100.00%	ⓜ casing, ⓜ plurals, ⓜ collation
br	Breton	brezhoneg	Latn	FR	1	‡moderate	≡	moderate	ICU	98.40%	84.50%	99.50%	100.00%	100.00%	
qu	Quechua	Runasimi	Latn	PE	3	‡modern	>	moderate	ICU	100.00%	98.00%	99.80%	100.00%	100.00%	ⓜ plurals, ⓜ collation
bal_Latn	Baluchi (Latin)	Balóchi [Látin]	Latn	PK	1		<	moderate		100.00%	52.70%	99.90%	100.00%	100.00%	
ia	Interlingua	interlingua	Latn	1	1	‡basic	<	moderate	ICU	100.00%	62.30%	99.90%	100.00%	100.00%	ⓜ collation
ku	Kurdish	kurdî [kurmancî]	Latn	TR	1		<	moderate	ICU	99.80%	52.20%	99.80%	100.00%	100.00%	ⓜ casing
vec	Venetian	veneto	Latn	IT	1		<	moderate	ICU	100.00%	59.70%	99.80%	100.00%	100.00%	ⓜ casing, ⓜ collation
bs_Cyrl	Bosnian (Cyrillic)	босански (ћирилица)	Cyrl	BA	1	‡basic	≡	basic	ICU	99.90%	53.30%	97.90%	100.00%	100.00%	
brx	Bodo	बर’	Deva	IN	1	basic	≡	basic	ICU	99.50%	47.90%	97.50%	100.00%	100.00%	
ks	Kashmiri	‫کٲشُر‬	Arab	IN	1	basic	≡	basic	ICU	96.60%	39.70%	92.50%	100.00%	100.00%	
ee	Ewe	eʋegbe	Latn	GH	2	basic	≡	basic	ICU	96.30%	42.70%	92.10%	100.00%	100.00%	
om	Oromo	Oromoo	Latn	ET	2	basic	≡	basic	ICU	99.30%	54.70%	90.10%	100.00%	100.00%	
mai	Maithili	मैथिली	Deva	IN	1	basic	≡	basic	ICU	100.00%	39.50%	83.10%	100.00%	100.00%	
kea	Kabuverdianu	kabuverdianu	Latn	CV	1	‡basic	≡	basic	ICU	98.70%	43.80%	79.60%	100.00%	100.00%	
rm	Romansh	rumantsch	Latn	CH	1	‡basic	≡	basic	ICU	98.20%	36.70%	79.10%	100.00%	100.00%	
uz_Cyrl	Uzbek (Cyrillic)	ўзбекча (Кирил)	Cyrl	UZ	1	‡basic	≡	basic	ICU	93.30%	31.00%	62.10%	100.00%	100.00%	
doi	Dogri	डोगरी	Deva	IN	1	basic	≡	basic	ICU	99.80%	17.40%	30.90%	100.00%	100.00%	
su	Sundanese	Basa Sunda	Latn	ID	1	basic	≡	basic	ICU	98.90%	10.70%	30.40%	100.00%	100.00%	
rw	Kinyarwanda	Ikinyarwanda	Latn	RW	1	basic	≡	basic	ICU	99.50%	40.40%	28.20%	100.00%	100.00%	
sa	Sanskrit	संस्कृत भाषा	Deva	IN	1	basic	≡	basic	ICU	95.70%	11.20%	27.80%	100.00%	100.00%	
tn	Tswana	Setswana	Latn	ZA	2	basic	≡	basic	ICU	97.40%	37.00%	27.00%	100.00%	100.00%	
st	Southern Sotho	Sesotho	Latn	ZA	2	basic	≡	basic	ICU	80.00%	8.30%	26.80%	100.00%	100.00%	
nso	Northern Sotho	Sesotho sa Leboa	Latn	ZA	1	basic	≡	basic	ICU	100.00%	36.80%	26.70%	100.00%	100.00%	
ks_Deva	Kashmiri (Devanagari)	कॉशुर (देवनागरी)	Deva	IN	1	basic	≡	basic	ICU	100.00%	10.10%	26.20%	100.00%	100.00%	
sat	Santali	ᱥᱟᱱᱛᱟᱲᱤ	Olck	IN	1	basic	≡	basic	ICU	25.00%	10.20%	26.00%	100.00%	100.00%	
mni	Manipuri	মৈতৈলোন্	Beng	IN	1	basic	≡	basic	ICU	100.00%	9.90%	25.00%	100.00%	100.00%	
sd_Deva	Sindhi (Devanagari)	सिन्धी (देवनागिरी)	Deva	IN	0	basic	≡	basic	ICU	100.00%	9.30%	24.30%	100.00%	100.00%	
gaa	Ga	Gã	Latn	GH	1	basic	≡	basic	ICU	6.90%	3.10%	9.40%	100.00%	100.00%	
bgc	Haryanvi	हरियाणवी	Deva	IN	1	basic	≡	basic	ICU	100.00%	3.10%	9.30%	100.00%	100.00%	
raj	Rajasthani	राजस्थानी	Deva	IN	1	basic	≡	basic	ICU	100.00%	3.10%	9.30%	100.00%	100.00%	
bho	Bhojpuri	भोजपुरी	Deva	IN	1	basic	≡	basic	ICU	100.00%	2.80%	8.60%	100.00%	100.00%	
kgp	Kaingang	kanhgág	Latn	BR	1	‡moderate	>	basic	ICU	99.40%	60.50%	99.00%	100.00%	100.00%	
yrl	Nheengatu	nheẽgatu	Latn	BR	3	‡moderate	>	basic	ICU	99.40%	60.50%	99.00%	100.00%	100.00%	
ff_Adlm	Fula (Adlam)	‫𞤆𞤵𞤤𞤢𞤪 (𞤀𞤁𞤂𞤢𞤃)‬	Adlm	GN	12	‡moderate	>	basic	ICU	99.20%	64.60%	98.30%	100.00%	100.00%	
ast	Asturian	asturianu	Latn	ES	1	‡moderate	>	basic	ICU	99.50%	57.30%	95.60%	100.00%	100.00%	
to	Tongan	lea fakatonga	Latn	TO	1	‡moderate	>	basic	ICU	92.20%	90.60%	92.30%	100.00%	100.00%	
xnr	Kangri	कांगड़ी	Deva	IN	1		<	basic	ICU	100.00%	48.70%	99.50%	100.00%	100.00%	
cv	Chuvash	чӑваш	Cyrl	RU	1		<	basic	ICU	25.10%	40.30%	97.80%	100.00%	100.00%	
blo	Anii	anii kagɩja	Latn	BJ	1		<	basic	ICU	100.00%	57.00%	96.80%	100.00%	100.00%	
lb	Luxembourgish	Lëtzebuergesch	Latn	LU	1		<	basic	ICU	99.40%	73.20%	89.80%	100.00%	100.00%	
nqo	N’Ko	‫ߒߞߏ‬	Nkoo	GN	1		<	basic	ICU	99.90%	38.40%	83.60%	100.00%	100.00%	
syr	Syriac	‫ܣܘܪܝܝܐ‬	Syrc	IQ	2		<	basic	ICU	97.80%	52.10%	82.40%	100.00%	100.00%	
fy	Western Frisian	Frysk	Latn	NL	1		<	basic	ICU	77.10%	40.00%	81.00%	100.00%	100.00%	
kxv	Kuvi	kuvi	Latn	IN	1		<	basic	ICU	100.00%	34.50%	79.10%	100.00%	100.00%	
kxv_Deva	Kuvi (Devanagari)	कुवि (देवनागरी)	Deva	IN	1		<	basic	ICU	100.00%	31.80%	73.00%	100.00%	100.00%	
kxv_Orya	Kuvi (Odia)	କୁୱି (ଅଡ଼ିଆ)	Orya	IN	1		<	basic	ICU	100.00%	31.70%	72.60%	100.00%	100.00%	
kxv_Telu	Kuvi (Telugu)	కువి (తెలుగు)	Telu	IN	1		<	basic	ICU	100.00%	31.10%	71.30%	100.00%	100.00%	
ug	Uyghur	‫ئۇيغۇرچە‬	Arab	CN	1		<	basic	ICU	97.00%	59.50%	71.00%	100.00%	100.00%	
mt	Maltese	Malti	Latn	MT	1		<	basic	ICU	96.00%	49.00%	62.60%	100.00%	100.00%	
kok_Latn	Konkani (Latin)	Konknni (Romi)	Latn	IN	1		<	basic	ICU	100.00%	15.80%	36.30%	100.00%	100.00%	
sah	Yakut	саха тыла	Cyrl	RU	1		<	basic	ICU	93.80%	17.30%	33.70%	100.00%	100.00%	
ie	Interlingue	Interlingue	Latn	EE	1		<	basic	ICU	13.20%	9.30%	23.50%	100.00%	100.00%	
ii	Sichuan Yi	ꆈꌠꉙ	Yiii	CN	1		<	basic	ICU	96.50%	9.10%	23.10%	100.00%	100.00%	
csw	Swampy Cree	ᓀᐦᐃᓇᐍᐏᐣ	Cans	CA	1		<	basic	ICU	100.00%	10.20%	21.70%	100.00%	100.00%	
eo	Esperanto	Esperanto	Latn	1	1		<	basic	ICU	15.30%	8.70%	19.30%	100.00%	100.00%	
oc	Occitan	occitan	Latn	FR	2		<	basic	ICU	7.10%	5.90%	15.30%	100.00%	100.00%	
vmw	Makhuwa	emakhuwa	Latn	MZ	1		<	basic	ICU	100.00%	2.70%	10.10%	100.00%	100.00%	
lmo	Lombard	Lombard	Latn	IT	1		<	basic	ICU	90.10%	2.70%	10.00%	100.00%	100.00%	
nds	Low German	Neddersass’sch	Latn	DE	2		<	basic	ICU	7.30%	2.80%	9.90%	100.00%	100.00%	
za	Zhuang	Vahcuengh	Latn	CN	1		<	basic	ICU	14.70%	2.60%	9.50%	100.00%	100.00%	
szl	Silesian	ślōnski	Latn	PL	1		<	basic	ICU	2.90%	2.50%	8.00%	100.00%	100.00%	
lij	Ligurian	ligure	Latn	IT	1		<	basic	ICU	1.20%	2.40%	7.20%	100.00%	100.00%	
prg	Prussian	prūsiskan	Latn	PL	1		≡		ICU	14.50%	2.40%	9.40%	98.70%	100.00%	
lld	Ladin	ladin	Latn	IT	1		≡			96.40%	44.90%	95.60%	97.40%	100.00%	
ksh	Colognian	Kölsch	Latn	DE	1		≡		ICU	96.30%	29.70%	65.80%	94.80%	100.00%	
se	Northern Sami	davvisámegiella	Latn	NO	3		≡		ICU	82.80%	23.00%	52.70%	92.40%	100.00%	
os	Ossetic	ирон	Cyrl	GE	2		≡		ICU	94.30%	9.20%	23.00%	92.20%	100.00%	
dz	Dzongkha	རྫོང་ཁ	Tibt	BT	1		≡		ICU	89.10%	25.40%	58.10%	90.70%	100.00%	
ccp	Chakma	𑄌𑄋𑄴𑄟𑄳𑄦	Cakm	BD	2		≡		ICU	88.00%	53.50%	86.80%	84.50%	100.00%	
gsw	Swiss German	Schwiizertüütsch	Latn	CH	3		≡		ICU	79.70%	28.10%	66.60%	84.40%	100.00%	
pis	Pijin	Pijin	Latn	SB	1		≡			100.00%	2.20%	8.40%	84.40%	100.00%	
smn	Inari Sami	anarâškielâ	Latn	FI	1		≡		ICU	95.50%	17.00%	49.10%	82.70%	100.00%	
fur	Friulian	furlan	Latn	IT	1		≡		ICU	93.10%	19.60%	51.70%	81.80%	100.00%	
tpi	Tok Pisin	Tok Pisin	Latn	PG	1		≡			73.90%	2.80%	10.00%	80.50%	100.00%	
ce	Chechen	нохчийн	Cyrl	RU	1		≡		ICU	99.80%	40.60%	82.80%	80.00%	100.00%	
en_Dsrt	English (Deseret)	𐐀𐑍𐑊𐐮𐑇 (𐐔𐐯𐑆𐐲𐑉𐐯𐐻)	Dsrt	US	1		≡			99.80%	11.60%	26.90%	78.90%	100.00%	
ckb	Central Kurdish	‫کوردیی ناوەندی‬	Arab	IQ	2		≡		ICU	83.30%	15.60%	34.50%	78.40%	100.00%	
mgo	Metaʼ	metaʼ	Latn	CM	1		≡		ICU	88.00%	6.10%	18.80%	77.90%	100.00%	
sn	Shona	chiShona	Latn	ZW	1		≡		ICU	92.60%	15.30%	45.70%	77.30%	100.00%	
mg	Malagasy	Malagasy	Latn	MG	1		≡		ICU	92.60%	15.10%	45.00%	77.30%	100.00%	
zgh	Standard Moroccan Tamazight	ⵜⴰⵎⴰⵣⵉⵖⵜ	Tfng	MA	1		≡		ICU	97.30%	14.20%	34.20%	77.30%	100.00%	
jgo	Ngomba	Ndaꞌa	Latn	CM	1		≡		ICU	90.40%	7.70%	23.20%	76.60%	100.00%	
yi	Yiddish	‫ייִדיש‬	Hebr	UA	1		≡		ICU	84.10%	13.30%	31.40%	75.30%	100.00%	
haw	Hawaiian	ʻŌlelo Hawaiʻi	Latn	US	1		≡		ICU	84.70%	8.60%	26.10%	74.70%	100.00%	
wae	Walser	Walser	Latn	CH	1		≡		ICU	97.30%	18.90%	50.00%	70.70%	100.00%	
ln	Lingala	lingála	Latn	CD	4		≡		ICU	59.20%	11.10%	32.20%	70.50%	100.00%	
ewo	Ewondo	ewondo	Latn	CM	1		≡		ICU	97.20%	11.80%	33.70%	68.00%	100.00%	
mua	Mundang	MUNDAŊ	Latn	CM	1		≡		ICU	94.30%	11.70%	33.60%	68.00%	100.00%	
bas	Basaa	Ɓàsàa	Latn	CM	1		≡		ICU	97.10%	11.70%	33.50%	68.00%	100.00%	
agq	Aghem	Aghem	Latn	CM	1		≡		ICU	96.90%	11.70%	33.40%	68.00%	100.00%	
sbp	Sangu	Ishisangu	Latn	TZ	1		≡		ICU	96.90%	11.50%	33.00%	68.00%	100.00%	
rn	Rundi	Ikirundi	Latn	BI	1		≡		ICU	96.80%	11.30%	32.40%	68.00%	100.00%	
twq	Tasawaq	Tasawaq senni	Latn	NE	1		≡		ICU	97.00%	11.50%	32.00%	68.00%	100.00%	
dje	Zarma	Zarmaciine	Latn	NE	1		≡		ICU	97.00%	11.50%	32.00%	68.00%	100.00%	
yav	Yangben	nuasue	Latn	CM	1		≡		ICU	96.70%	10.80%	30.90%	68.00%	100.00%	
lu	Luba-Katanga	Tshiluba	Latn	CD	1		≡		ICU	96.90%	11.70%	33.70%	66.70%	100.00%	
ksf	Bafia	rikpa	Latn	CM	1		≡		ICU	97.10%	11.40%	32.70%	66.70%	100.00%	
nmg	Kwasio	Kwasio	Latn	CM	1		≡		ICU	96.90%	11.40%	32.70%	66.70%	100.00%	
ts	Tsonga	Xitsonga	Latn	ZA	1		≡			91.10%	7.30%	22.90%	66.70%	100.00%	ⓑ own_regions
dua	Duala	duálá	Latn	CM	1		≡		ICU	92.60%	4.50%	14.20%	66.70%	100.00%	
