#nameDisplay		India 2011 L1	India 2011 L2	India 2011 L3	India 2011 Multilingual
#isoRegionCode	IN				
#yearCollected	2011				
#url	http://www.censusindia.gov.in/2011census/C-17.html				
#tableName	C-17: Population by bilingualism and trilingualism				
#columnName			1st subsidiary languages	2nd subsidiary languages	
#collectorName	Office of the Registrar General & Census Commissioner, India				
#collectorType	Government				
#dateAccessed	2025-03-21				
#geographicScope	Whole Country				
#age	Any				
#gender	Any				
#modality	Spoken				
#acquisitionOrder		L1	L2	L3	Any
#domain	Home				
#responsesPerIndividual	1				
#sampleRate	1				
#eligiblePopulation	1,210,854,977				
#languagesIncluded	122 Major language groups				
#notes			Added together from appearance in multiple rows	Added together from appearance in multiple rows	Summed up from the other data
Language Code	Language Name	Population by Mothertongue			
lus	LUSHAI/MIZO	830,846	116,330	17,090	964,266
mai	MAITHILI	13,583,464	651,987	48,843	14,284,294
mal	MALAYALAM	34,838,819	581,591	218,932	35,639,342
malt1248	MALTO	234,991	2,388	697	238,076
mni	MANIPURI	1,761,079	384,357	101,690	2,247,126
nbi	MAO	240,205	737	359	241,301
nma	MARAM	32,460	126	95	32,681
mar	MARATHI	83,026,680	13,001,079	3,031,027	99,058,786
nng	MARING	25,814	70	33	25,917
mrg	MIRI/MISHING	629,954	25,986	3,370	659,310
mxj	MISHMI	44,100	216	80	44,396
rki	MOGH	36,665	666	581	37,912
kkf	MONPA	13,703	9,266	221	23,190
unx	MUNDA	505,922	29,447	5,671	541,040
unr	MUNDARI	1,128,228	63,666	8,364	1,200,258
nep	NEPALI	2,926,168	366,648	143,798	3,436,614
caq	NICOBARESE	29,099	96	94	29,289
njz	NISSI/DAFLA	406,532	12,974	609	420,115
njb	NOCTE	30,839	53	56	30,948
ori	ODIA	37,521,324	4,670,796	397,213	42,589,333
und	OTHERS	1,875,542	814,897	282,144	2,972,583
pck	PAITE	79,507	13,653	7,384	100,544
pci	PARJI	52,349	12,589	3,209	68,147
cnh	PAWI	28,639	2,003	515	31,157
nph	PHOM	54,416	203	153	54,772
npo	POCHURY	21,654	164	127	21,945
pan	PUNJABI	33,124,726	2,237,126	719,901	36,081,753
rah	RABHA	139,986	10,881	3,272	154,139
mis	RAI	15,644	2,031	613	18,288
nre	RENGMA	65,328	185	183	65,696
nsa	SANGTAM	76,000	2,538	1,338	79,876
san	SANSKRIT	24,821	1,134,362	1,963,640	3,122,823
sat	SANTALI	7,368,192	278,448	76,663	7,723,303
srb	SAVARA	409,549	28,846	1,289	439,684
nsm	SEMA	10,802	1,022	764	12,588
xsr	SHERPA	16,012	1,037	308	17,357
scl	SHINA	32,247	3,278	203	35,728
snd	SINDHI	2,772,264	281,177	48,591	3,102,032
taj	TAMANG	20,154	2,549	481	23,184
tam	TAMIL	69,026,881	6,668,000	900,985	76,595,866
nmf	TANGKHUL	187,276	739	523	188,538
nst	TANGSA	38,624	225	118	38,967
tel	TELUGU	81,127,740	12,167,609	1,206,254	94,501,603
tcz	THADO	229,340	11,342	6,287	246,969
bod	TIBETAN	182,685	8,235	3,861	194,781
trp	TRIPURI	1,011,294	15,392	8,798	1,035,484
tcy	TULU	1,846,427	424,436	352,639	2,623,502
urd	URDU	50,772,631	11,348,978	1,117,836	63,239,445
vap	VAIPHEI	42,748	5,479	4,661	52,888
nnp	WANCHO	59,154	326	190	59,670
yim	YIMCHUNGRE	83,259	3,270	1,797	88,326
nzm	ZELIANG	63,529	268	297	64,094
mis	ZEMI	50,925	346	353	51,624
zom	ZOU	26,545	4,747	6,078	37,370
